Date,User,Tweet,Hashtags,Location,Mentioned User,Key Word,Reply Count,like Count,Retwet Count,Followers Count
2022-08-15 21:07:23+00:00,Dieseltechpro,"My 1st time growing. Strain was THC Bomb auto, it was a bag seed grown outside. #Mmemberville #Mondayvibes #CannabisCommunity #gardening #Flowers #Homegrown #THC #medical #weedsmokers #GoodVibes #happy #legalizeit https://t.co/yqcmTeaget","['Mmemberville', 'Mondayvibes', 'CannabisCommunity', 'gardening', 'Flowers', 'Homegrown', 'THC', 'medical', 'weedsmokers', 'GoodVibes', 'happy', 'legalizeit']",United States,,THC,1,35,2,519
2022-08-15 15:10:00+00:00,smokeinpeaceUSA,"I need a THC drip or time release THC patch. 
#Stonertip",['Stonertip'],"New York, NY",,THC,1,6,1,46904
2022-08-14 20:20:33+00:00,MaannostaShines,"Eating one of these puppies at 7pm will have you slinging one-liners all night...when you're home alone!😎🤯🤩🎙

#Delta8Gummies
#THC
#Gummies
#Legal https://t.co/vQhBZA2jfB","['Delta8Gummies', 'THC', 'Gummies', 'Legal']","Minnesota, USA",,THC,1,3,1,4190
2022-08-14 18:21:21+00:00,Wheysted_Music,Hot take: Weed is causing more problems for you than solutions. If you can use the substance sparingly then your probably doing just fine. But when it’s something you Intake daily it starts rewriting your brain chemistry. And the big issue is the potency of THC (cont.),,United States,,THC,5,5,0,159
2022-08-14 16:17:05+00:00,dances,"The pure CBD on top of the heavy thc weed and caffeine 
I fear this is the best I’ve felt in my life https://t.co/H4HZN8IbRl",,The lay/philly/nyc/thetrap,,THC,0,10,0,12055
2022-08-14 15:46:56+00:00,canna__momma,"Happy self❤ Sunday beautiful stoners. I over did it yesterday so foot on heating pad, pipe &amp; weed, Titus, &amp; a THC infused 🍍/🥭/🥥 smoothie. Please take some time today to commit an act of self❤- it's the most righteous kind of love! Stoners rule the🌎 
#Mmemberville https://t.co/qBZbAnq7Y4",['Mmemberville'],"Florida, USA",,THC,1,9,1,7095
2022-08-14 03:19:34+00:00,Jeremy_Danner,THC drops + The Boys https://t.co/yPQHtfEDpi,,Kansas City,,THC,3,25,0,19733
2022-08-13 21:51:11+00:00,thelanklord,I miss when weed was like 12% thc who got the mids plug,,Bel Air,,THC,3,6,0,279
2022-08-13 18:55:20+00:00,paulineherr,just had a thc mint so that i don’t hate the music i’m working on 😌,,she/her,,THC,2,45,0,8192
2022-08-13 13:12:11+00:00,__misssindiaaa,- this is why i don’t mess with homemade edibles too much . mfs don’t measure the thc . i swear i had lunch with my parents last night 🤣🤣,,Beyhive,,THC,2,7,0,2260
2022-08-13 02:18:24+00:00,uptowngetmoney_,"I thought I had THC poisoning, aka the spins. Nah it’s vertigo. And I’m relieved because I was second guessing the weed.",,Downtown Los Angeles ,,THC,0,2,0,220
